1341.2,855.3
1345.1,855.74
1349,856.19
1352.9,856.63
1356.8,857.07
1360.7,857.51
1364.6,857.95
1368.6,858.39
1372.5,858.83
1376.4,859.26
1380.3,859.7
1384.2,860.13
1388.1,860.56
1392,860.99
1395.9,861.42
1399.8,861.85
1403.7,862.28
1407.7,862.7
1411.6,863.13
1415.5,863.55
1419.4,863.98
1423.3,864.4
1427.2,864.82
1431.1,865.24
1435,865.65
1438.9,866.07
1442.8,866.49
1446.8,866.9
1450.7,867.32
1454.6,867.73
1458.5,868.14
1462.4,868.55
1466.3,868.96
1470.2,869.37
1474.1,869.77
1478,870.18
1481.9,870.58
1485.9,870.99
1489.8,871.39
1493.7,871.79
1497.6,872.19
1501.5,872.59
1505.4,872.99
1509.3,873.39
1513.2,873.79
1517.1,874.18
1521,874.58
1525,874.97
1528.9,875.36
1532.8,875.75
1536.7,876.15
1540.6,876.54
1544.5,876.92
1548.4,877.31
1552.3,877.7
1556.2,878.08
1560.1,878.47
1564.1,878.85
1568,879.24
1571.9,879.62
1575.8,880
1579.7,880.38
1583.6,880.76
1587.5,881.14
1591.4,881.51
1595.3,881.89
1599.2,882.27
1603.2,882.64
1607.1,883.02
1611,883.39
1614.9,883.76
1618.8,884.13
1622.7,884.5
1626.6,884.87
1630.5,885.24
1634.4,885.61
1638.3,885.97
1642.3,886.34
1646.2,886.7
1650.1,887.07
1654,887.43
1657.9,887.79
1661.8,888.16
1665.7,888.52
1669.6,888.88
1673.5,889.24
1677.4,889.59
1681.4,889.95
1685.3,890.31
1689.2,890.66
1693.1,891.02
1697,891.37
1700.9,891.73
1704.8,892.08
1708.7,892.43
1712.6,892.78
1716.5,893.13
1720.5,893.48
1724.4,893.83
1728.3,894.18
1732.2,894.52
1736.1,894.87
1740,895.22
1743.9,895.56
1747.8,895.9
1751.7,896.25
1755.6,896.59
1759.6,896.93
1763.5,897.27
1767.4,897.61
1771.3,897.95
1775.2,898.29
1779.1,898.63
1783,898.97
1786.9,899.3
1790.8,899.64
1794.7,899.97
1798.7,900.31
1802.6,900.64
1806.5,900.97
1810.4,901.31
1814.3,901.64
1818.2,901.97
1822.1,902.3
1826,902.63
1829.9,902.96
1833.8,903.28
1837.8,903.61
1841.7,903.94
1845.6,904.26
1849.5,904.59
1853.4,904.91
1857.3,905.24
1861.2,905.56
1865.1,905.88
1869,906.21
1872.9,906.53
1876.9,906.85
1880.8,907.17
1884.7,907.49
1888.6,907.8
1892.5,908.12
1896.4,908.44
1900.3,908.76
1904.2,909.07
1908.1,909.39
1912,909.7
1916,910.02
1919.9,910.33
1923.8,910.64
1927.7,910.95
1931.6,911.27
1935.5,911.58
1939.4,911.89
1943.3,912.2
1947.2,912.51
1951.1,912.81
1955.1,913.12
1959,913.43
1962.9,913.74
1966.8,914.04
1970.7,914.35
1974.6,914.65
1978.5,914.96
1982.4,915.26
1986.3,915.56
1990.2,915.86
1994.2,916.17
1998.1,916.47
2002,916.77
2005.9,917.07
2009.8,917.37
2013.7,917.67
2017.6,917.96
2021.5,918.26
2025.4,918.56
2029.4,918.86
2033.3,919.15
2037.2,919.45
2041.1,919.74
2045,920.04
2048.9,920.33
2052.8,920.62
2056.7,920.92
2060.6,921.21
2064.5,921.5
2068.5,921.79
2072.4,922.08
2076.3,922.37
2080.2,922.66
2084.1,922.95
2088,923.24
2091.9,923.53
2095.8,923.81
2099.7,924.1
2103.6,924.39
2107.6,924.67
2111.5,924.96
2115.4,925.24
2119.3,925.52
2123.2,925.81
2127.1,926.09
2131,926.37
2134.9,926.66
2138.8,926.94
2142.7,927.22
2146.7,927.5
2150.6,927.78
2154.5,928.06
2158.4,928.34
2162.3,928.62
2166.2,928.89
2170.1,929.17
2174,929.45
2177.9,929.72
2181.8,930
2185.8,930.28
2189.7,930.55
2193.6,930.82
2197.5,931.1
2201.4,931.37
2205.3,931.65
2209.2,931.92
2213.1,932.19
2217,932.46
2220.9,932.73
2224.9,933
2228.8,933.27
2232.7,933.54
2236.6,933.81
2240.5,934.08
2244.4,934.35
2248.3,934.62
2252.2,934.88
2256.1,935.15
2260,935.42
2264,935.68
2267.9,935.95
2271.8,936.21
2275.7,936.48
2279.6,936.74
2283.5,937.01
2287.4,937.27
2291.3,937.53
2295.2,937.79
2299.1,938.06
2303.1,938.32
2307,938.58
2310.9,938.84
2314.8,939.1
2318.7,939.36
2322.6,939.62
2326.5,939.88
2330.4,940.14
2334.3,940.39
2338.2,940.65
2342.2,940.91
2346.1,941.17
2350,941.42
2353.9,941.68
2357.8,941.93
2361.7,942.19
2365.6,942.44
2369.5,942.7
2373.4,942.95
2377.3,943.2
2381.3,943.46
2385.2,943.71
