 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 18.5/(FRExt)| 03/27 | 03:25 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 1  | 1  | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 65.353| 60.890| 60.981| 62.606| 54.504| 55.386|62449760|49673760|      0|112125600|         275759   |         178455   |
| 18.5/(FRExt)| 03/27 | 19:42 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 20 | 20 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 57.039| 54.538| 59.153| 57.040| 54.537| 59.152|2071840|  11440|      0|  2085360|         242411   |         191893   |
| 18.5/(FRExt)| 03/27 | 19:42 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 10 | 10 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 61.334| 57.905| 61.213| 61.334| 57.904| 61.212|7365360|  12240|      0|  7379680|         243038   |         187867   |
| 18.5/(FRExt)| 03/27 | 19:42 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 1  | 1  | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 67.716| 67.056| 70.161| 67.714| 67.054| 70.159|19940880|  18720|      0| 19961680|         245128   |         184455   |
| 18.5/(FRExt)| 03/27 | 19:42 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 25 | 25 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 54.811| 50.876| 52.583| 54.811| 50.876| 52.584|1494160|  11120|      0|  1507360|         245846   |         196463   |
| 18.5/(FRExt)| 03/27 | 19:42 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 30 | 30 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 51.017| 47.174| 48.180| 51.017| 47.173| 48.181|1025600|  10880|      0|  1038560|         255136   |         205600   |
| 18.5/(FRExt)| 03/28 | 02:28 |\Users\Ratnajit\Desktop\enTest\ldr12.yuv|   10 |  0/0  | 10 | 10 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 55.862| 58.291| 59.108| 55.625| 57.970| 58.719|7325184|40320552|      0| 47646360|        5820417   |        5651026   |
| 18.5/(FRExt)| 03/28 | 02:29 |:\Users\Ratnajit\Desktop\enTest\ldr8.yuv|   10 |  0/0  | 10 | 10 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 53.575| 55.343| 56.039| 53.121| 54.748| 55.462|8689800|56360780|      0| 65051188|        5826825   |        1314612   |
| 18.5/(FRExt)| 03/28 | 02:29 |\Users\Ratnajit\Desktop\enTest\ldr10.yuv|   10 |  0/0  | 10 | 10 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 55.636| 57.909| 58.656| 55.339| 57.467| 58.172|7401336|41138256|      0| 48540216|        5869554   |        5693822   |
| 18.5/(FRExt)| 04/13 | 16:32 |t\Desktop\test_framework\hdrjpeg\res.yuv|    3 |  0/0  | 5  | 5  | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 58.611|  0.000|  0.000| 58.119|  0.000|  0.000|31883360|53798720|      0| 85684000|         332649   |         264873   |
